18.75	22.95
21.45	21.45
20.5	22.85
20.65	24.3
21.7	23.8
23.1	21.7
13.35	28.45
12.4	27.85
12.2	28.65
12.9	26.5
11.15	28.7
10.5	28.35
10.25	27.25
12.6	24.05
10.05	25.95
8.5	27.05
7.55	26.3
9.4	25.55
10.55	24.35
5.4	25.25
4.3	24
6.1	22.6
6.4	21.95
8.45	17.2
12.3	22.75
9.95	19.8
12	20
11.4	19.25
15.2	18.2
31.9	4.4
32.8	6
35.45	4.1
32.3	7.65
31.8	9.45
34.7	8
34.55	8.85
31.2	12
33.1	12.75
35.8	11.55
34.05	13.05
11.05	9.1
14.3	12.45
14.45	10.75
12.35	8.45
12.4	7.1
15.1	10.25
16.75	11.5
15.05	7.8
10.6	5.05
13.9	5.3
12.75	3
15.15	7.1
15.25	2.7
15.7	6.35
17.3	4.8
18.15	1.95
20.45	2.8
18.65	4.75
16.6	7.95
20.8	4.7
20.55	5.75
17.5	8.25
18	8.55
20.05	6.95
24.15	4.55
20	8.2
16.95	10.35
19	11.65
20.7	10.65
20.95	10.2
21.75	8.2
23	7.35
23.7	8.85
5.15	3.45
4.95	4.05
7.1	4.3
8.5	3.25
32.45	16.75
30.55	18.8
31.55	19.65
33.7	17
31.75	20.25
31.55	22.2
30.95	24.15
33.65	21.9
33.8	20.4
36.35	20.6
34.6	22.05
34.9	23.5
33.6	23.9
33.7	24.85
30.25	24.3
31.25	27.85
33.85	26.05
34.65	26.85
9.7	12.1
5.7	12.25
7.85	11.85
7.65	11.1
8.3	10.55
